id,name,description,outgoingRelationships
cleyv3vwg000ami62vb6w40s0,Marketing Manager - Coca Cola,"Responsible for creating and implementing marketing strategies to promote the Coca Cola brand. Requires strong leadership, communication, and analytical skills.","[{""to"":""clerpja2r000cmi0fb1ssp6xh"",""weight"":""MEDIUM""},{""to"":""clerpja2r000emi0femdpftvj"",""weight"":""MEDIUM""},{""to"":""clerpja2s000fmi0flj8d5a26"",""weight"":""LOW""},{""to"":""clerpja320016mi0f940fjx19"",""weight"":""MEDIUM""},{""to"":""clerpja34001ami0fvz97wt4x"",""weight"":""HIGH""},{""to"":""clerpja36001gmi0fhz7n2i80"",""weight"":""LOW""}]"
cleyv3vwi000cmi62dwxhmxs7,Civil Engineer - Turner Construction,"Design and oversee construction projects, including roads, bridges, and buildings. Requires knowledge of engineering principles and project management skills.","[{""to"":""clerpja2r0008mi0fe55z3poy"",""weight"":""MEDIUM""},{""to"":""clerpja34001ami0fvz97wt4x"",""weight"":""MEDIUM""},{""to"":""clerpja39001mmi0fjhpnewg5"",""weight"":""HIGH""},{""to"":""clerpja3b001umi0f77cfg57a"",""weight"":""LOW""},{""to"":""clerpja3e0020mi0fm4x98umy"",""weight"":""LOW""}]"
cleyv3vwi000emi62p488u435,Outdoor Adventure Guide - REI Adventures,"Lead groups on outdoor expeditions such as camping, hiking, and rock climbing. Requires knowledge of outdoor activities, first aid, and leadership skills.","[{""to"":""clerpja2s000fmi0flj8d5a26"",""weight"":""MEDIUM""},{""to"":""clerpja300012mi0fjg16pkfb"",""weight"":""LOW""},{""to"":""clerpja34001ami0fvz97wt4x"",""weight"":""HIGH""},{""to"":""clerpja39001omi0f4jxx67u4"",""weight"":""MEDIUM""},{""to"":""clerpja3b001smi0fona5goh6"",""weight"":""LOW""}]"
cleyv3vwj000gmi62z867jsuh,Marketing Manager - Coca Cola,Responsible for developing and implementing marketing strategies to increase sales and brand awareness. Works closely with the sales team and advertising agencies to ensure effective campaigns. ,"[{""to"":""clerpja2r0009mi0fky2m77bx"",""weight"":""HIGH""},{""to"":""clerpja330018mi0fn9ul2361"",""weight"":""LOW""},{""to"":""clerpja36001emi0f5j819ca8"",""weight"":""MEDIUM""},{""to"":""clerpja3b001umi0f77cfg57a"",""weight"":""LOW""},{""to"":""clerpja3d001ymi0f79zvcus3"",""weight"":""LOW""}]"
cleyv3vwk000imi62gqskx2ks,Music Producer - Sony Music,"Collaborates with artists to produce and record music, and manages the creative process. Coordinates with sound engineers and studio technicians to ensure quality production. ","[{""to"":""clerpja2s000fmi0flj8d5a26"",""weight"":""HIGH""},{""to"":""clerpja2x000smi0fc09bysrk"",""weight"":""MEDIUM""},{""to"":""clerpja2z000ymi0f99j9q7w1"",""weight"":""MEDIUM""},{""to"":""clerpja36001emi0f5j819ca8"",""weight"":""LOW""},{""to"":""clerpja38001kmi0fioftvey6"",""weight"":""LOW""}]"
cleyv3vwl000kmi62y7j4uwbo,Event Planner - Marriott International,"Plans and executes events, including conferences, weddings, and corporate events. Coordinates with vendors, manages budgets, and ensures events are successful. ","[{""to"":""clerpja2s000fmi0flj8d5a26"",""weight"":""HIGH""},{""to"":""clerpja310014mi0fe0gc91jc"",""weight"":""LOW""},{""to"":""clerpja36001emi0f5j819ca8"",""weight"":""MEDIUM""},{""to"":""clerpja36001gmi0fhz7n2i80"",""weight"":""LOW""},{""to"":""clerpja37001imi0fqhxoaxmx"",""weight"":""MEDIUM""}]"
cleyv3vwm000mmi62g0mmfecd,HR Generalist - Procter & Gamble,"Responsible for a variety of HR duties including employee relations, recruitment, training and development, compensation and benefits administration, and performance management. Acts as a liaison between employees and management. Works closely with department managers to ensure HR policies and procedures are followed.","[{""to"":""clerpja2r0009mi0fky2m77bx"",""weight"":""HIGH""},{""to"":""clerpja2r000cmi0fb1ssp6xh"",""weight"":""MEDIUM""},{""to"":""clerpja2x000smi0fc09bysrk"",""weight"":""MEDIUM""},{""to"":""clerpja36001gmi0fhz7n2i80"",""weight"":""MEDIUM""},{""to"":""clerpja3b001umi0f77cfg57a"",""weight"":""LOW""},{""to"":""clerpja3c001wmi0f66e9wg6v"",""weight"":""LOW""}]"
cleyv3vwn000omi62s8drnhti,Operations Manager - Amazon,"Responsible for managing the day-to-day operations of an Amazon fulfillment center, including overseeing staff, inventory management, shipping and receiving, and process improvement. Ensures that the facility meets safety and efficiency standards. Works closely with other managers to ensure customer satisfaction and optimize processes.","[{""to"":""clerpja2r000emi0femdpftvj"",""weight"":""HIGH""},{""to"":""clerpja2s000fmi0flj8d5a26"",""weight"":""MEDIUM""},{""to"":""clerpja2s000imi0f1qxtjio1"",""weight"":""MEDIUM""},{""to"":""clerpja36001emi0f5j819ca8"",""weight"":""LOW""},{""to"":""clerpja3b001umi0f77cfg57a"",""weight"":""LOW""},{""to"":""clerpja3e0020mi0fm4x98umy"",""weight"":""MEDIUM""}]"
cleyv3vwp000qmi625v6hqapk,Marketing Manager - Nike,The Marketing Manager at Nike is responsible for overseeing the company's marketing campaigns and initiatives. They work closely with product development teams to ensure that marketing efforts are aligned with the company's overall objectives.,[]
cleyv3vwr000smi62r4ed7kmk,Environmental Scientist - National Geographic,Conduct research and analyze data related to environmental issues for National Geographic.,[]
cleyv3vws000umi62l9sw7des,Human Resources Specialist - Google,"Assist in the hiring and recruitment process, manage employee benefits, and handle employee relations at Google.",[]
